================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/05_arch/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1517.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9182 RMSE=1.1753 Spearman=0.8864 N=66543
  PCC  | mean=0.6577  median=0.6773  weighted_mean=0.6567  std=0.1186
  RMSE | mean=1.1103  median=1.1158  weighted_mean=1.1138
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8749  RMSE=1.3503  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7272    0.6923   0.6427   0.4998         -
87   87                  403   0.8048    0.8118   0.9798   0.7597         -
88   88                  397   0.5892    0.6101   1.2102   0.9158         -
89   89                  403   0.5815    0.5640   1.0569   0.8163         -
90   90                  382   0.5828    0.6028   0.8313   0.6423         -
91   91                  399   0.7712    0.8230   0.7158   0.4384         -
92   92                  402   0.5730    0.5616   1.1541   0.9172         -
93   93                  399   0.8005    0.7674   0.5403   0.4311         -
94   94                  401   0.7089    0.7018   1.1447   0.9448         -
95   95                  110   0.6609    0.6119   1.1421   0.8527         -
96   96                  401   0.7543    0.7266   0.6258   0.4740         -
97   97                  343   0.5882    0.5677   0.8640   0.6681         -
98   98                  401   0.7060    0.6986   1.5023   1.1810         -
99   99                  324   0.8002    0.8094   0.9364   0.7462         -
100  100                 404   0.6253    0.6023   0.9950   0.7705         -
101  101                 403   0.7874    0.7439   0.7869   0.6041         -
102  102                 403   0.5326    0.5273   1.2243   0.9257         -
103  103                 381   0.5547    0.5641   0.9656   0.7243         -
104  104                 395   0.7654    0.7297   1.4793   1.1492         -
105  105                 399   0.7744    0.7173   0.6176   0.5090         -
106  106                 399   0.6562    0.6537   1.5697   1.2420         -
107  107                 401   0.6052    0.5856   1.1419   0.9014         -
108  108                 380   0.4904    0.5298   1.5329   1.1585         -
109  109                 403   0.7458    0.7552   0.9144   0.7208         -
110  110                 403   0.4878    0.4800   1.6377   1.2876         -
111  111                 396   0.6630    0.6137   1.2664   1.0659         -
112  112                 382   0.7815    0.7548   0.9430   0.7549         -
113  113                 404   0.6829    0.6732   1.1069   0.8528         -
114  114                 403   0.4974    0.4277   1.6753   1.2696         -
115  115                 382   0.7415    0.7387   1.1355   0.9228         -
116  116                 385   0.7477    0.6940   0.7717   0.5938         -
117  117                 401   0.6338    0.6071   1.1478   0.8936         -
118  118                 324   0.5808    0.5865   1.1880   0.9223         -
119  119                 330   0.6288    0.6104   1.1189   0.9170         -
120  120                 382   0.3937    0.3742   1.0698   0.8552         -
121  121                 382   0.7743    0.7420   0.5924   0.4671         -
122  122                 396   0.6504    0.6319   1.0226   0.7506         -
123  123                 109   0.6470    0.6089   1.0393   0.8737         -
124  124                 398   0.4994    0.4870   1.6984   1.3408         -
125  125                 382   0.6910    0.6719   0.9852   0.8054         -
