================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B3_bypass_cat/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9239 RMSE=1.1300 Spearman=0.8913 N=66543
  PCC  | mean=0.6825  median=0.7031  weighted_mean=0.6818  std=0.1083
  RMSE | mean=1.0728  median=1.0458  weighted_mean=1.0762
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8815  RMSE=1.2573  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7371    0.7058   0.6508   0.5051         -
87   87                  403   0.8103    0.8186   0.9424   0.7235         -
88   88                  397   0.7378    0.7355   1.0221   0.7939         -
89   89                  403   0.5899    0.5680   1.0820   0.8171         -
90   90                  382   0.5963    0.6111   0.8259   0.6307         -
91   91                  399   0.7954    0.8533   0.7015   0.3816         -
92   92                  402   0.7137    0.6954   1.0175   0.8047         -
93   93                  399   0.8160    0.7844   0.5220   0.4034         -
94   94                  401   0.7181    0.7087   1.0837   0.8890         -
95   95                  110   0.6759    0.6404   1.1391   0.8587         -
96   96                  401   0.7697    0.7383   0.6341   0.4935         -
97   97                  343   0.5976    0.5807   0.8621   0.6506         -
98   98                  401   0.7233    0.7120   1.4559   1.1226         -
99   99                  324   0.7982    0.8023   0.8805   0.6722         -
100  100                 404   0.6159    0.5883   0.9827   0.7617         -
101  101                 403   0.7986    0.7639   0.8001   0.6106         -
102  102                 403   0.5632    0.5622   1.2200   0.9185         -
103  103                 381   0.5589    0.5763   0.9753   0.6748         -
104  104                 395   0.7657    0.7322   1.4473   1.1269         -
105  105                 399   0.7798    0.7283   0.6112   0.4978         -
106  106                 399   0.6724    0.6755   1.5263   1.1943         -
107  107                 401   0.6085    0.5926   1.1379   0.9054         -
108  108                 380   0.5304    0.5704   1.5082   1.1280         -
109  109                 403   0.7570    0.7715   0.9137   0.7293         -
110  110                 403   0.6041    0.6115   1.5435   1.2089         -
111  111                 396   0.6750    0.6237   1.2352   1.0378         -
112  112                 382   0.7896    0.7576   0.9920   0.7920         -
113  113                 404   0.6994    0.6873   1.0854   0.8361         -
114  114                 403   0.6234    0.5301   1.5360   1.1691         -
115  115                 382   0.7439    0.7423   1.1526   0.9426         -
116  116                 385   0.7572    0.7145   0.7791   0.5934         -
117  117                 401   0.6203    0.5908   1.1376   0.8851         -
118  118                 324   0.5844    0.5949   1.2110   0.9417         -
119  119                 330   0.6143    0.5885   1.0944   0.8966         -
120  120                 382   0.4491    0.4413   1.0475   0.8333         -
121  121                 382   0.7805    0.7557   0.5993   0.4531         -
122  122                 396   0.6944    0.6615   1.0013   0.7343         -
123  123                 109   0.6435    0.6086   1.0441   0.8858         -
124  124                 398   0.7650    0.7463   1.3148   1.0235         -
125  125                 382   0.7013    0.6813   0.9944   0.8208         -
126  126                 399   0.5220    0.6193   1.6912   1.0678         -
127  127                 399   0.7866    0.7517   0.7121   0.5270         -
128  128                 323   0.8182    0.8019   0.8590   0.6550         -
129  129                 395   0.6672    0.6279   1.2331   0.9955         -
130  130                 324   0.6471    0.6500   1.1849   0.9605         -
131  131                 400   0.7151    0.6760   0.7412   0.5845         -
132  132                 399   0.7224    0.7060   1.3720   1.0862         -
133  133                 382   0.7109    0.7151   1.0410   0.8130         -
134  134                 403   0.6556    0.5899   0.8846   0.7078         -
135  135                 382   0.7068    0.6696   1.1763   0.9562         -
136  136                 324   0.5247    0.5065   1.2874   1.0228         -
137  137                 401   0.7335    0.6898   1.3241   0.8687         -
138  138                 377   0.4502    0.4787   2.1642   1.5080         -
139  139                 396   0.7651    0.7418   1.0290   0.8374         -
140  140                 403   0.5855    0.5975   1.3852   1.0698         -
141  141                 402   0.5190    0.4820   1.2859   0.9617         -
142  142                 403   0.6661    0.6551   1.2759   1.0348         -
143  143                 110   0.5915    0.4826   0.7610   0.6004         -
144  144                 401   0.5177    0.4950   1.2281   0.9697         -
145  145                 382   0.6319    0.6217   1.3710   1.2025         -
146  146                 380   0.7039    0.6647   0.9397   0.7262         -
147  147                  77   0.7516    0.6948   0.6966   0.5660         -
148  148                 401   0.6766    0.6137   0.6976   0.5607         -
149  149                 403   0.6165    0.6224   1.1109   0.8947         -
150  150                 401   0.7023    0.6404   0.7364   0.5528         -
151  151                 403   0.8183    0.7959   0.5721   0.4374         -
152  152                 395   0.6270    0.5819   0.6270   0.4911         -
153  153                 403   0.7994    0.8173   0.6309   0.4423         -
154  154                 382   0.6883    0.6405   0.8162   0.6663         -
155  155                 324   0.7774    0.7909   0.6396   0.4774         -
156  156                 382   0.7055    0.6787   1.3394   1.0764         -
157  157                 382   0.6331    0.6167   0.9313   0.7516         -
158  158                 381   0.6595    0.6345   0.8089   0.6526         -
159  159                 401   0.5543    0.5406   0.9737   0.7010         -
160  160                 396   0.7363    0.6880   0.7733   0.5868         -
161  161                 326   0.8725    0.8547   0.5444   0.4027         -
162  162                 403   0.7863    0.7677   0.7065   0.5536         -
163  163                 395   0.6230    0.5613   0.8860   0.7451         -
164  164                 401   0.4981    0.5017   1.1469   0.8481         -
165  165                 324   0.6346    0.6148   0.7366   0.5948         -
166  166                 382   0.5755    0.5304   1.1545   0.9784         -
167  167                 324   0.6765    0.6598   0.6994   0.5449         -
168  168                 324   0.7394    0.7197   0.5794   0.4646         -
169  169                 326   0.7303    0.6739   0.6663   0.5371         -
170  170                 403   0.5387    0.5372   0.9435   0.6896         -
171  171                 382   0.7932    0.7636   0.5023   0.3840         -
172  172                 401   0.7843    0.7437   0.8219   0.6635         -
