================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B4_dual_encoder/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9482 RMSE=0.9361 Spearman=0.9211 N=66543
  PCC  | mean=0.7784  median=0.7895  weighted_mean=0.7801  std=0.0782
  RMSE | mean=0.9055  median=0.8722  weighted_mean=0.9046
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9134  RMSE=1.0623  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7790    0.7596   0.6292   0.5224         -
87   87                  403   0.8492    0.8624   0.8280   0.6113         -
88   88                  397   0.8612    0.8422   0.7962   0.6143         -
89   89                  403   0.6561    0.6474   0.9864   0.7654         -
90   90                  382   0.6427    0.6716   0.7875   0.6070         -
91   91                  399   0.7976    0.8592   0.6611   0.3585         -
92   92                  402   0.8583    0.8379   0.7355   0.5620         -
93   93                  399   0.8258    0.7909   0.5131   0.4175         -
94   94                  401   0.8133    0.8060   0.9733   0.8000         -
95   95                  110   0.7475    0.7377   0.9424   0.7232         -
96   96                  401   0.8255    0.7947   0.5845   0.4508         -
97   97                  343   0.6366    0.6331   0.8483   0.6427         -
98   98                  401   0.8001    0.7924   1.2963   0.9895         -
99   99                  324   0.8111    0.8171   0.8526   0.6433         -
100  100                 404   0.8471    0.8468   0.7129   0.5524         -
101  101                 403   0.8414    0.7890   0.7163   0.5561         -
102  102                 403   0.8116    0.7117   0.8763   0.7281         -
103  103                 381   0.6174    0.6394   0.9183   0.6763         -
104  104                 395   0.8648    0.8319   1.1146   0.8584         -
105  105                 399   0.8094    0.7598   0.5620   0.4569         -
106  106                 399   0.8131    0.8239   1.2158   0.9299         -
107  107                 401   0.8286    0.8049   0.8368   0.6559         -
108  108                 380   0.8168    0.7817   1.0356   0.8043         -
109  109                 403   0.8183    0.8168   0.8218   0.6385         -
110  110                 403   0.9139    0.9002   0.8269   0.6507         -
111  111                 396   0.7609    0.7272   1.1043   0.9079         -
112  112                 382   0.8363    0.7979   0.8368   0.6871         -
113  113                 404   0.8784    0.8700   0.7543   0.5846         -
114  114                 403   0.8265    0.7601   1.0805   0.8324         -
115  115                 382   0.8148    0.8176   0.9995   0.7727         -
116  116                 385   0.7884    0.7493   0.7398   0.5936         -
