dgidb_name,concept_id,cid
BRAF(V600E) KINASE INHIBITOR RO5212054,ncit:C92591,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
CLONIDINE HYDROCHLORIDE,rxcui:142432,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
MISOPROSTOL,rxcui:42331,
HYDROCHLOROTHIAZIDE,rxcui:5487,
DACTOLISIB,ncit:C74072,11977753.0
DACTOLISIB,ncit:C74072,11977753.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
PALBOCICLIB,rxcui:1601374,5330286.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
AFATINIB,rxcui:1430438,10184653.0
CERITINIB,rxcui:1535457,
CERITINIB,rxcui:1535457,
CERITINIB,rxcui:1535457,
CERITINIB,rxcui:1535457,
CERITINIB,rxcui:1535457,
CERITINIB,rxcui:1535457,
CERITINIB,rxcui:1535457,
FORETINIB,ncit:C80058,42642645.0
FORETINIB,ncit:C80058,42642645.0
FORETINIB,ncit:C80058,42642645.0
GLESATINIB,ncit:C77876,
GLESATINIB,ncit:C77876,
ONALESPIB,ncit:C85454,
ONALESPIB,ncit:C85454,
ONALESPIB,ncit:C85454,
ONALESPIB,ncit:C85454,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
ENZALUTAMIDE,rxcui:1307298,
DAROLUTAMIDE,rxcui:2180325,
DAROLUTAMIDE,rxcui:2180325,
HYDROCHLOROTHIAZIDE,rxcui:5487,
DAROLUTAMIDE,rxcui:2180325,
DAROLUTAMIDE,rxcui:2180325,
DAROLUTAMIDE,rxcui:2180325,
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
DOCETAXEL ANHYDROUS,rxcui:1299922,148124.0
AXITINIB,rxcui:1242999,6450551.0
AXITINIB,rxcui:1242999,6450551.0
AXITINIB,rxcui:1242999,6450551.0
AXITINIB,rxcui:1242999,6450551.0
AXITINIB,rxcui:1242999,6450551.0
AXITINIB,rxcui:1242999,6450551.0
AXITINIB,rxcui:1242999,6450551.0
CIXUTUMUMAB,ncit:C79828,
CIXUTUMUMAB,ncit:C79828,
PRACINOSTAT,ncit:C71708,
PRACINOSTAT,ncit:C71708,
PRACINOSTAT,ncit:C71708,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
TOLIMIDONE,ncit:C152683,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
METHAZOLAMIDE,rxcui:6826,
PROPANTHELINE BROMIDE,rxcui:8762,
PROPANTHELINE BROMIDE,rxcui:8762,
PROPANTHELINE BROMIDE,rxcui:8762,
PROPANTHELINE BROMIDE,rxcui:8762,
OXYPHENONIUM BROMIDE,rxcui:42833,
MEPENZOLATE BROMIDE,rxcui:52560,
HEXOCYCLIUM METHYLSULFATE,rxcui:235430,
DICYCLOMINE HYDROCHLORIDE,rxcui:152021,
DICYCLOMINE HYDROCHLORIDE,rxcui:152021,
DICYCLOMINE HYDROCHLORIDE,rxcui:152021,
DICYCLOMINE HYDROCHLORIDE,rxcui:152021,
