================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/gdgn/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2353.8s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9100 RMSE=1.2260 Spearman=0.8799 N=66543
  PCC  | mean=0.6505  median=0.6675  weighted_mean=0.6481  std=0.1213
  RMSE | mean=1.1506  median=1.0962  weighted_mean=1.1517
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8612  RMSE=1.6558  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7176    0.6808   0.6617   0.5042         -
87   87                  403   0.8016    0.8117   0.9312   0.6990         -
88   88                  397   0.6033    0.6147   1.2048   0.9070         -
89   89                  403   0.5944    0.5800   1.1016   0.8313         -
90   90                  382   0.5806    0.5860   0.8455   0.6371         -
91   91                  399   0.7708    0.8208   0.7178   0.4149         -
92   92                  402   0.5469    0.5320   1.1897   0.9404         -
93   93                  399   0.7989    0.7652   0.5324   0.4144         -
94   94                  401   0.6664    0.6532   1.0689   0.8533         -
95   95                  110   0.6617    0.6240   1.2673   0.9660         -
96   96                  401   0.7410    0.7317   0.6683   0.5090         -
97   97                  343   0.5878    0.5697   0.8892   0.6869         -
98   98                  401   0.7003    0.6800   1.5959   1.2699         -
99   99                  324   0.7974    0.8006   0.9490   0.7623         -
100  100                 404   0.5985    0.5697   1.0130   0.8000         -
101  101                 403   0.7661    0.7296   0.8700   0.6665         -
102  102                 403   0.4911    0.4890   1.2883   0.9468         -
103  103                 381   0.5363    0.5549   1.0302   0.6811         -
104  104                 395   0.7254    0.7094   1.6398   1.2686         -
105  105                 399   0.7651    0.7109   0.6356   0.5125         -
106  106                 399   0.6508    0.6519   1.5765   1.2332         -
107  107                 401   0.5748    0.5504   1.1926   0.9264         -
108  108                 380   0.4750    0.5094   1.6003   1.1590         -
109  109                 403   0.7458    0.7588   1.0087   0.8279         -
110  110                 403   0.3961    0.3809   1.7491   1.3585         -
111  111                 396   0.6588    0.6153   1.2548   1.0525         -
112  112                 382   0.7692    0.7425   1.0011   0.8086         -
113  113                 404   0.6670    0.6494   1.0928   0.8651         -
114  114                 403   0.4980    0.4564   1.7098   1.2941         -
115  115                 382   0.7184    0.7184   1.2153   0.9960         -
116  116                 385   0.7489    0.7017   0.8222   0.6144         -
117  117                 401   0.6002    0.5775   1.2458   0.9633         -
118  118                 324   0.5435    0.5586   1.3174   1.0494         -
119  119                 330   0.5939    0.5693   1.2525   1.0467         -
120  120                 382   0.3851    0.3471   1.0761   0.8547         -
121  121                 382   0.7726    0.7445   0.6091   0.4665         -
122  122                 396   0.6564    0.6331   1.0995   0.7914         -
123  123                 109   0.6187    0.5612   1.0642   0.8871         -
124  124                 398   0.4794    0.4569   1.7326   1.3581         -
