================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/01_main/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2397.1s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9218 RMSE=1.1535 Spearman=0.8899 N=66543
  PCC  | mean=0.6775  median=0.6922  weighted_mean=0.6758  std=0.1104
  RMSE | mean=1.0880  median=1.0698  weighted_mean=1.0944
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8838  RMSE=1.2256  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7405    0.7131   0.6553   0.5232         -
87   87                  403   0.8084    0.8144   0.8863   0.6607         -
88   88                  397   0.6511    0.6609   1.1513   0.8816         -
89   89                  403   0.6142    0.6073   1.0277   0.7921         -
90   90                  382   0.5914    0.6150   0.8316   0.6727         -
91   91                  399   0.7962    0.8439   0.6840   0.4131         -
92   92                  402   0.6291    0.6148   1.1011   0.8846         -
93   93                  399   0.8096    0.7801   0.5338   0.4270         -
94   94                  401   0.7171    0.7093   1.2396   1.0363         -
95   95                  110   0.6928    0.6816   1.0305   0.8037         -
96   96                  401   0.7574    0.7307   0.6279   0.4733         -
97   97                  343   0.5857    0.5762   0.8689   0.6745         -
98   98                  401   0.7192    0.7120   1.4437   1.1177         -
99   99                  324   0.7951    0.8026   0.8854   0.6570         -
100  100                 404   0.6149    0.5809   0.9806   0.7582         -
101  101                 403   0.7952    0.7579   0.7858   0.6050         -
102  102                 403   0.5510    0.5531   1.2119   0.9017         -
103  103                 381   0.5635    0.5774   0.9703   0.7441         -
104  104                 395   0.7664    0.7326   1.4478   1.1292         -
105  105                 399   0.7727    0.7250   0.6245   0.5116         -
106  106                 399   0.6522    0.6481   1.5519   1.2122         -
107  107                 401   0.6338    0.6181   1.1830   0.9562         -
108  108                 380   0.5882    0.5938   1.4675   1.1183         -
109  109                 403   0.7560    0.7678   0.9324   0.7519         -
110  110                 403   0.5820    0.5843   1.5541   1.2268         -
111  111                 396   0.6652    0.6194   1.2666   1.0449         -
112  112                 382   0.8098    0.7600   0.8843   0.7335         -
113  113                 404   0.7046    0.6984   1.0811   0.8460         -
114  114                 403   0.5893    0.5031   1.5580   1.2108         -
115  115                 382   0.7477    0.7473   1.1174   0.8878         -
116  116                 385   0.7570    0.7130   0.7601   0.5994         -
117  117                 401   0.6506    0.6259   1.1312   0.8781         -
118  118                 324   0.5883    0.5889   1.1983   0.9144         -
119  119                 330   0.6252    0.6038   1.0905   0.8869         -
120  120                 382   0.4637    0.4568   1.0703   0.8658         -
121  121                 382   0.7866    0.7559   0.5928   0.4825         -
122  122                 396   0.6704    0.6426   1.0191   0.7454         -
123  123                 109   0.6785    0.6362   1.1133   0.9076         -
124  124                 398   0.6074    0.5893   1.5719   1.2645         -
125  125                 382   0.6887    0.6740   1.0025   0.7989         -
126  126                 399   0.5138    0.6081   1.6319   1.0730         -
127  127                 399   0.7812    0.7435   0.6813   0.5176         -
128  128                 323   0.8200    0.8053   0.8182   0.6769         -
129  129                 395   0.6778    0.6271   1.1974   0.9878         -
130  130                 324   0.6728    0.6739   1.1956   1.0199         -
131  131                 400   0.7070    0.6619   0.7461   0.6023         -
132  132                 399   0.7055    0.6999   1.4015   1.1117         -
133  133                 382   0.7094    0.7157   1.3062   1.1056         -
134  134                 403   0.6836    0.6245   0.8520   0.6844         -
135  135                 382   0.6996    0.6682   1.1610   0.9335         -
136  136                 324   0.5361    0.5220   1.3359   1.0654         -
137  137                 401   0.7277    0.7040   1.3486   0.9003         -
138  138                 377   0.4461    0.4642   2.1554   1.5581         -
139  139                 396   0.7620    0.7330   1.0286   0.8304         -
140  140                 403   0.5434    0.5562   1.4266   1.1066         -
141  141                 402   0.5240    0.4959   1.3024   0.9770         -
142  142                 403   0.6750    0.6652   1.2918   1.0550         -
143  143                 110   0.5802    0.4875   0.7798   0.6232         -
144  144                 401   0.5165    0.4965   1.2690   0.9998         -
145  145                 382   0.6075    0.6048   1.3872   1.2140         -
146  146                 380   0.7153    0.6777   0.9048   0.6971         -
147  147                  77   0.8339    0.8041   0.5206   0.4272         -
148  148                 401   0.6846    0.6228   0.6506   0.5274         -
149  149                 403   0.6295    0.6229   1.1599   0.9447         -
150  150                 401   0.6927    0.6403   0.7154   0.5519         -
151  151                 403   0.8119    0.7983   0.5763   0.4475         -
152  152                 395   0.6305    0.5912   0.6061   0.4924         -
153  153                 403   0.7976    0.8170   0.6777   0.5015         -
154  154                 382   0.6918    0.6464   0.8164   0.6662         -
155  155                 324   0.7757    0.7882   0.6372   0.5044         -
156  156                 382   0.7016    0.6678   1.2621   1.0409         -
157  157                 382   0.6288    0.6066   0.9366   0.7627         -
158  158                 381   0.6763    0.6600   0.7770   0.6224         -
159  159                 401   0.5595    0.5542   0.9692   0.7122         -
160  160                 396   0.7296    0.6766   0.7769   0.6170         -
161  161                 326   0.8738    0.8535   0.5731   0.4601         -
162  162                 403   0.7776    0.7541   0.6851   0.5387         -
163  163                 395   0.6262    0.5703   0.8628   0.7252         -
164  164                 401   0.4810    0.4710   1.1610   0.8813         -
165  165                 324   0.6553    0.6323   0.7006   0.5488         -
166  166                 382   0.5882    0.5449   1.1050   0.9287         -
167  167                 324   0.6764    0.6777   0.6691   0.5413         -
168  168                 324   0.7397    0.7142   0.5774   0.4717         -
169  169                 326   0.7186    0.6785   0.6905   0.5558         -
170  170                 403   0.5324    0.5374   0.9443   0.7343         -
171  171                 382   0.7918    0.7590   0.5131   0.4124         -
172  172                 401   0.7814    0.7424   0.7730   0.6284         -
173  173                 396   0.6458    0.6089   0.9094   0.7160         -
174  174                 322   0.6798    0.7140   1.9794   1.6012         -
175  175                 398   0.3937    0.3278   1.3357   1.1150         -
176  176                 324   0.7079    0.6823   0.6720   0.5615         -
177  177                 401   0.5421    0.5350   1.1667   0.8945         -
178  178                 403   0.7363    0.7343   1.3741   1.1460         -
179  179                 392   0.5882    0.6596   1.0530   0.7292         -
180  180                 382   0.7309    0.6948   0.7275   0.6052         -
