Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
"G-292, clone A141B1",G292CLONEA141B1_BONE,ACH-000082,G-292-Clone-A141B1
G-361,G361_SKIN,ACH-000572,G-361
G-401,G401_SOFT_TISSUE,ACH-000096,G-401
G-402,G402_SOFT_TISSUE,ACH-000375,G-402
GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,ACH-000098,GAMG
GB-1,GB1_CENTRAL_NERVOUS_SYSTEM,ACH-000738,GB-1
GCT,GCT_SOFT_TISSUE,ACH-000835,GCT
GI-1,GI1_CENTRAL_NERVOUS_SYSTEM,ACH-000756,GI-1
H4,H4_CENTRAL_NERVOUS_SYSTEM,ACH-000389,H4
HARA,HARA_LUNG,ACH-000843,HARA
HCC-15,HCC15_LUNG,ACH-000878,HCC-15
HCC-33,HCC33_LUNG,ACH-000515,HCC-33
HCC-366,HCC366_LUNG,ACH-000840,HCC-366
HCC-44,HCC44_LUNG,ACH-000667,HCC-44
HCC1143,HCC1143_BREAST,ACH-000374,HCC1143
HCC1187,HCC1187_BREAST,ACH-000111,HCC1187
HCC1395,HCC1395_BREAST,ACH-000699,HCC1395
HCC1419,HCC1419_BREAST,ACH-000277,HCC1419
HCC1428,HCC1428_BREAST,ACH-000352,HCC1428
HCC1500,HCC1500_BREAST,ACH-000349,HCC1500
HCC1569,HCC1569_BREAST,ACH-000930,HCC1569
HCC1599,HCC1599_BREAST,ACH-000196,HCC1599
HCC1806,HCC1806_BREAST,ACH-000624,HCC1806
HCC1937,HCC1937_BREAST,ACH-000223,HCC1937
HCC1954,HCC1954_BREAST,ACH-000859,HCC1954
HCC202,HCC202_BREAST,ACH-000725,HCC202
HCC2157,HCC2157_BREAST,ACH-000691,HCC2157
HCC70,HCC70_BREAST,ACH-000668,HCC70
HCC827,HCC827_LUNG,ACH-000012,HCC-827
HCT 116,HCT116_LARGE_INTESTINE,ACH-000971,HCT-116
HCT-15,HCT15_LARGE_INTESTINE,ACH-000997,HCT-15
