================================================================================
Phase 6 Generalization Report | model=baseline_simple
ckpt: data/model/baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 37.4s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9575 RMSE=0.8526 Spearman=0.9349 N=66543
  PCC  | mean=0.8154  median=0.8200  weighted_mean=0.8166  std=0.0688
  RMSE | mean=0.8335  median=0.8099  weighted_mean=0.8322
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9291  RMSE=0.9637  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7861    0.7547   0.5998   0.4876         -
87   87                  403   0.8702    0.8720   0.7902   0.5847         -
88   88                  397   0.8812    0.8715   0.7273   0.5551         -
89   89                  403   0.7546    0.7431   0.8693   0.6779         -
90   90                  382   0.7049    0.7128   0.7522   0.6101         -
91   91                  399   0.8184    0.8716   0.6698   0.4689         -
92   92                  402   0.8761    0.8556   0.7079   0.5528         -
93   93                  399   0.8438    0.8092   0.4906   0.3946         -
94   94                  401   0.8641    0.8570   0.7779   0.5917         -
95   95                  110   0.7813    0.7523   0.9215   0.7016         -
96   96                  401   0.8105    0.8033   0.5652   0.4157         -
97   97                  343   0.6976    0.6703   0.7788   0.5916         -
98   98                  401   0.8478    0.8293   1.1939   0.9197         -
99   99                  324   0.8435    0.8485   0.8430   0.6316         -
100  100                 404   0.8723    0.8685   0.6590   0.5096         -
101  101                 403   0.8460    0.7919   0.7349   0.5643         -
102  102                 403   0.8182    0.7863   0.9179   0.7373         -
103  103                 381   0.6639    0.6635   0.9012   0.7028         -
104  104                 395   0.8907    0.8663   1.0811   0.8263         -
105  105                 399   0.8122    0.7611   0.6013   0.4971         -
106  106                 399   0.8828    0.8942   1.0613   0.8118         -
107  107                 401   0.8724    0.8668   0.8032   0.6436         -
108  108                 380   0.8653    0.8459   0.8924   0.6758         -
109  109                 403   0.8246    0.8207   0.8091   0.6420         -
110  110                 403   0.9200    0.8966   0.8263   0.6594         -
111  111                 396   0.7880    0.7525   1.1092   0.9008         -
112  112                 382   0.8615    0.8227   0.7853   0.6493         -
113  113                 404   0.8628    0.8786   0.8699   0.7053         -
114  114                 403   0.8931    0.8515   0.9090   0.7163         -
115  115                 382   0.8487    0.8523   0.9695   0.7424         -
116  116                 385   0.8162    0.7778   0.6659   0.5315         -
117  117                 401   0.8591    0.8646   0.8517   0.6681         -
118  118                 324   0.7914    0.7871   0.9549   0.7085         -
119  119                 330   0.8193    0.8217   0.8497   0.6649         -
120  120                 382   0.7029    0.6972   0.8992   0.7199         -
121  121                 382   0.8069    0.7887   0.5924   0.4860         -
122  122                 396   0.8302    0.8184   0.7852   0.5646         -
123  123                 109   0.8137    0.8009   0.8318   0.6649         -
124  124                 398   0.9340    0.9158   0.7545   0.6062         -
125  125                 382   0.7934    0.7886   0.8546   0.6711         -
126  126                 399   0.8573    0.8210   1.0542   0.7794         -
127  127                 399   0.8258    0.7914   0.6613   0.5119         -
128  128                 323   0.8691    0.8662   0.7386   0.6239         -
129  129                 395   0.7750    0.7547   1.1007   0.9104         -
130  130                 324   0.8714    0.8673   0.7789   0.6231         -
131  131                 400   0.7693    0.7504   0.6688   0.5321         -
132  132                 399   0.8772    0.8665   1.0189   0.8073         -
133  133                 382   0.8244    0.8331   0.8324   0.6168         -
134  134                 403   0.7892    0.7577   0.7588   0.5952         -
135  135                 382   0.8882    0.8869   0.8206   0.6520         -
136  136                 324   0.7455    0.7556   1.0671   0.8683         -
137  137                 401   0.8995    0.7701   0.9253   0.6658         -
138  138                 377   0.8790    0.8461   1.3482   1.0182         -
139  139                 396   0.8380    0.8271   0.8959   0.7037         -
140  140                 403   0.8891    0.8792   0.8821   0.6876         -
141  141                 402   0.7492    0.7421   1.0709   0.8092         -
142  142                 403   0.8779    0.8831   0.9060   0.7197         -
143  143                 110   0.6649    0.5740   0.7288   0.5587         -
144  144                 401   0.7946    0.7904   0.9320   0.7059         -
145  145                 382   0.8402    0.8394   1.1097   0.8915         -
146  146                 380   0.7680    0.7289   0.8288   0.6286         -
147  147                  77   0.8377    0.8316   0.5882   0.4594         -
148  148                 401   0.7184    0.6705   0.6447   0.5207         -
149  149                 403   0.8318    0.8092   0.7860   0.6369         -
150  150                 401   0.7582    0.7249   0.6846   0.5550         -
151  151                 403   0.8440    0.8165   0.5215   0.4073         -
152  152                 395   0.6851    0.6373   0.5754   0.4618         -
153  153                 403   0.8331    0.8529   0.5899   0.4264         -
154  154                 382   0.7551    0.7167   0.7380   0.5980         -
155  155                 324   0.8191    0.8245   0.5717   0.4591         -
156  156                 382   0.8020    0.7962   1.0763   0.8764         -
157  157                 382   0.7273    0.7155   0.8798   0.6987         -
158  158                 381   0.7251    0.7070   0.7470   0.5852         -
159  159                 401   0.6467    0.6776   0.8971   0.6464         -
160  160                 396   0.7607    0.7029   0.7348   0.5989         -
161  161                 326   0.8983    0.8838   0.4780   0.3817         -
162  162                 403   0.8178    0.8020   0.7031   0.5673         -
163  163                 395   0.7376    0.7192   0.8053   0.6535         -
164  164                 401   0.8386    0.7974   0.7630   0.5814         -
165  165                 324   0.6834    0.6593   0.6855   0.5488         -
166  166                 382   0.7462    0.7221   0.9733   0.8125         -
167  167                 324   0.7489    0.7411   0.6349   0.5272         -
168  168                 324   0.7593    0.7434   0.6068   0.5080         -
169  169                 326   0.7746    0.7144   0.6678   0.5466         -
170  170                 403   0.8082    0.7681   0.6553   0.5135         -
171  171                 382   0.8207    0.7850   0.4785   0.3975         -
172  172                 401   0.7986    0.7458   0.7362   0.5965         -
173  173                 396   0.7314    0.7008   0.8258   0.6561         -
174  174                 322   0.9159    0.8990   1.1659   0.8921         -
175  175                 398   0.5865    0.5557   1.1895   0.9854         -
176  176                 324   0.7497    0.7268   0.6180   0.5172         -
177  177                 401   0.7495    0.7489   0.9586   0.7140         -
178  178                 403   0.8526    0.8299   0.9312   0.6889         -
179  179                 392   0.8238    0.8291   0.7911   0.6524         -
180  180                 382   0.8022    0.7669   0.6515   0.5454         -
181  181                 399   0.8806    0.8628   1.0433   0.8171         -
182  182                 397   0.7445    0.7474   0.7948   0.5850         -
183  183                 401   0.8801    0.8807   0.7744   0.6098         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9566, 0.9583]  RMSE=[0.8457, 0.8596]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9575 RMSE=0.8526 Spearman=0.9349 N=66543
  PCC  | mean=0.9584  median=0.9581  weighted_mean=0.9561  std=0.0073
  RMSE | mean=0.8285  median=0.8339  weighted_mean=0.8506

--- 每折明细 ---
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.9488    0.9356   0.9289   0.6518
1    B-cell_ALL                      679   0.9691    0.9474   0.7442   0.5641
2    CML                             994   0.9466    0.9423   0.9677   0.6658
3    Ewings_Sarcoma                  512   0.9685    0.9464   0.7466   0.5688
4    T-cell_ALL                     1176   0.9634    0.9364   0.7758   0.5985
5    bile_duct                       172   0.9602    0.9451   0.8339   0.6572
6    breast                         6387   0.9473    0.9217   0.9210   0.7002
7    colorectal                     4400   0.9521    0.9303   0.9069   0.6959
8    endometrium                     853   0.9610    0.9360   0.7850   0.6121
9    esophagus                      2468   0.9592    0.9377   0.8192   0.6219
10   glioma                         3628   0.9639    0.9363   0.7961   0.6087
11   kidney                         1793   0.9558    0.9380   0.8692   0.6804
12   leukemia_other                  319   0.9561    0.9409   0.8848   0.6516
13   liver                          1364   0.9482    0.9140   0.8721   0.6844
14   lung_NSC                       7885   0.9589    0.9361   0.8201   0.6305
