================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/04_no_pretrain/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1524.1s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9262 RMSE=1.1023 Spearman=0.8949 N=66543
  PCC  | mean=0.6943  median=0.7143  weighted_mean=0.6940  std=0.0996
  RMSE | mean=1.0485  median=1.0387  weighted_mean=1.0521
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8833  RMSE=1.2403  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
86   86                  398   0.7457    0.7225   0.6438   0.5162         -
87   87                  403   0.8067    0.8194   0.8914   0.6686         -
88   88                  397   0.7413    0.7336   1.0108   0.7870         -
89   89                  403   0.5874    0.5612   1.0548   0.8121         -
90   90                  382   0.5870    0.6014   0.8283   0.6524         -
91   91                  399   0.7990    0.8547   0.6693   0.3564         -
92   92                  402   0.7230    0.7063   0.9897   0.7851         -
93   93                  399   0.8069    0.7700   0.5586   0.4481         -
94   94                  401   0.7295    0.7119   1.0363   0.8495         -
95   95                  110   0.6550    0.6159   1.0669   0.7869         -
96   96                  401   0.7780    0.7488   0.6478   0.5011         -
97   97                  343   0.5908    0.5856   0.8968   0.6718         -
98   98                  401   0.7295    0.7170   1.4370   1.0992         -
99   99                  324   0.8083    0.8125   0.8785   0.6587         -
100  100                 404   0.6587    0.6426   0.9443   0.7244         -
101  101                 403   0.7971    0.7578   0.7758   0.5943         -
102  102                 403   0.5981    0.5923   1.1738   0.8842         -
103  103                 381   0.5694    0.5856   0.9601   0.7194         -
104  104                 395   0.7768    0.7426   1.4034   1.0818         -
105  105                 399   0.7853    0.7271   0.6214   0.5064         -
106  106                 399   0.6771    0.6815   1.5094   1.1846         -
107  107                 401   0.6270    0.6037   1.1173   0.8951         -
108  108                 380   0.5957    0.6234   1.4372   1.0841         -
109  109                 403   0.7599    0.7769   0.9588   0.7299         -
110  110                 403   0.7026    0.6950   1.4082   1.0848         -
111  111                 396   0.6705    0.6212   1.2280   1.0299         -
112  112                 382   0.7970    0.7627   0.9428   0.7621         -
113  113                 404   0.7027    0.6915   1.0749   0.8509         -
114  114                 403   0.6545    0.5488   1.4786   1.1433         -
115  115                 382   0.7540    0.7548   1.1056   0.8684         -
116  116                 385   0.7610    0.7192   0.7655   0.6198         -
117  117                 401   0.6359    0.6114   1.1311   0.8804         -
118  118                 324   0.6003    0.6100   1.1886   0.9162         -
119  119                 330   0.6194    0.5950   1.1128   0.8902         -
120  120                 382   0.4718    0.4583   1.0346   0.8299         -
121  121                 382   0.7840    0.7561   0.6011   0.4887         -
122  122                 396   0.6834    0.6570   1.0411   0.7591         -
123  123                 109   0.6556    0.6103   1.0242   0.8678         -
124  124                 398   0.7913    0.7687   1.2212   0.9633         -
125  125                 382   0.7173    0.6971   0.9497   0.7690         -
126  126                 399   0.5820    0.6630   1.5700   1.0491         -
127  127                 399   0.7868    0.7434   0.6805   0.5103         -
128  128                 323   0.8203    0.8088   0.8204   0.6503         -
129  129                 395   0.6696    0.6242   1.2102   0.9897         -
130  130                 324   0.6615    0.6586   1.1925   1.0161         -
131  131                 400   0.7240    0.6920   0.7195   0.5744         -
132  132                 399   0.7304    0.7195   1.3591   1.0754         -
133  133                 382   0.7154    0.7189   1.0071   0.7730         -
134  134                 403   0.6725    0.6107   0.8540   0.6758         -
135  135                 382   0.7268    0.6965   1.0817   0.8592         -
136  136                 324   0.5517    0.5363   1.2506   0.9958         -
137  137                 401   0.7560    0.6907   1.2774   0.8527         -
138  138                 377   0.4742    0.5026   2.1298   1.5047         -
139  139                 396   0.7769    0.7585   1.0078   0.8200         -
140  140                 403   0.6312    0.6478   1.3455   1.0469         -
141  141                 402   0.5420    0.5217   1.2684   0.9466         -
142  142                 403   0.6659    0.6623   1.2660   1.0329         -
143  143                 110   0.5842    0.4692   0.7939   0.6337         -
144  144                 401   0.5458    0.5296   1.1933   0.9386         -
145  145                 382   0.6337    0.6247   1.3683   1.1910         -
146  146                 380   0.7132    0.6809   0.9119   0.6942         -
147  147                  77   0.8277    0.8086   0.5622   0.4675         -
148  148                 401   0.6781    0.6168   0.6582   0.5281         -
149  149                 403   0.6341    0.6205   1.1359   0.9253         -
150  150                 401   0.6962    0.6360   0.7178   0.5466         -
151  151                 403   0.8186    0.7942   0.5804   0.4541         -
152  152                 395   0.6223    0.5756   0.6121   0.4836         -
153  153                 403   0.8021    0.8127   0.6638   0.4967         -
154  154                 382   0.7033    0.6537   0.7832   0.6393         -
155  155                 324   0.7748    0.7793   0.6353   0.5015         -
156  156                 382   0.7056    0.6791   1.2534   1.0264         -
157  157                 382   0.6327    0.6143   0.9268   0.7453         -
158  158                 381   0.6545    0.6270   0.7925   0.6295         -
159  159                 401   0.5510    0.5371   0.9774   0.7312         -
160  160                 396   0.7361    0.6879   0.7557   0.5831         -
161  161                 326   0.8725    0.8632   0.5606   0.4202         -
162  162                 403   0.7853    0.7688   0.6809   0.5415         -
163  163                 395   0.6134    0.5592   0.8899   0.7434         -
164  164                 401   0.5957    0.5984   1.0843   0.8188         -
165  165                 324   0.6510    0.6271   0.6978   0.5490         -
166  166                 382   0.5796    0.5438   1.1408   0.9637         -
167  167                 324   0.7026    0.6886   0.6429   0.5110         -
168  168                 324   0.7407    0.7219   0.5946   0.4807         -
169  169                 326   0.7261    0.6776   0.6863   0.5565         -
170  170                 403   0.5842    0.5569   0.8805   0.6816         -
171  171                 382   0.7871    0.7573   0.5028   0.3995         -
172  172                 401   0.7848    0.7396   0.7734   0.6269         -
173  173                 396   0.6440    0.6049   0.9325   0.7306         -
174  174                 322   0.7303    0.7586   1.8597   1.4620         -
175  175                 398   0.4052    0.3421   1.3142   1.1003         -
176  176                 324   0.7092    0.6845   0.6971   0.5797         -
177  177                 401   0.5714    0.5598   1.1422   0.8623         -
178  178                 403   0.7372    0.7292   1.2261   0.9541         -
179  179                 392   0.6190    0.6873   1.0219   0.7258         -
180  180                 382   0.7418    0.7102   0.7403   0.6184         -
181  181                 399   0.7494    0.7402   1.4160   1.0867         -
182  182                 397   0.6771    0.6841   0.8235   0.6249         -
183  183                 401   0.8173    0.8202   0.9350   0.7486         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9247, 0.9275]  RMSE=[1.0939, 1.1106]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9262 RMSE=1.1023 Spearman=0.8949 N=66543
  PCC  | mean=0.9274  median=0.9305  weighted_mean=0.9235  std=0.0127
  RMSE | mean=1.0759  median=1.0526  weighted_mean=1.0996

--- 每折明细 ---
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.9126    0.8922   1.2229   0.8407
1    B-cell_ALL                      679   0.9464    0.9130   1.0004   0.7352
2    CML                             994   0.9019    0.8975   1.3207   0.8555
3    Ewings_Sarcoma                  512   0.9391    0.9008   1.0410   0.7708
4    T-cell_ALL                     1176   0.9350    0.8930   1.0252   0.7614
5    bile_duct                       172   0.9431    0.9136   0.9630   0.7324
6    breast                         6387   0.9074    0.8693   1.1840   0.8910
7    colorectal                     4400   0.9197    0.8892   1.1481   0.8817
8    endometrium                     853   0.9312    0.8966   1.0229   0.7705
9    esophagus                      2468   0.9259    0.9000   1.0741   0.7968
10   glioma                         3628   0.9370    0.8977   1.0330   0.7975
11   kidney                         1793   0.9216    0.8903   1.1203   0.8646
12   leukemia_other                  319   0.9347    0.9033   1.0804   0.7703
13   liver                          1364   0.9118    0.8610   1.0923   0.8409
14   lung_NSC                       7885   0.9297    0.9014   1.0526   0.7979
15   lung_small_cell                5743   0.9250    0.8830   1.0660   0.8095
16   lymphoma_Burkitt                511   0.9432    0.8873   0.9829   0.7422
17   lymphoma_DLBCL                  492   0.9383    0.8878   1.0387   0.8006
18   lymphoma_Hodgkin                170   0.9324    0.8734   0.9792   0.7672
19   lymphoma_other                  763   0.9136    0.8527   1.2130   0.8964
20   medulloblastoma                 340   0.9545    0.9119   0.9039   0.6769
21   melanoma                       4331   0.9112    0.8668   1.1720   0.8681
22   mesothelioma                    642   0.9166    0.8765   1.1403   0.8611
23   multiple_myeloma               1506   0.9134    0.8705   1.2048   0.8859
24   neuroblastoma                  1429   0.9136    0.8811   1.1438   0.8473
25   osteosarcoma                    827   0.9305    0.8906   1.0300   0.7721
26   other                           170   0.9336    0.8941   0.9111   0.6821
27   ovary                          3750   0.9257    0.8949   1.0878   0.8153
28   pancreas                       2945   0.9339    0.9050   1.0382   0.8025
29   prostate                        514   0.9322    0.8852   1.0510   0.8296
30   soft_tissue                    1363   0.9322    0.9009   1.0651   0.7671
31   stomach                        2474   0.9064    0.8741   1.2331   0.9195
32   thyroid                        1185   0.9387    0.8979   1.0157   0.8002
33   upper_aerodigestive            1301   0.9243    0.8887   1.0373   0.7699
34   urinary_tract                  1951   0.9432    0.9095   0.9613   0.7333

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9247, 0.9275]  RMSE=[1.0939, 1.1106]
